title,company,location,dateposted
Machine Learning Engineer,Apple,"Hyderabad, Telangana",Posted30+ days ago
Data Scientist,Travel Centric Technology,"Bengaluru, Karnataka",Posted15 days ago
System Architect - Data Scientist,Philips,"Bengaluru, Karnataka",Posted30+ days ago
Associate Data Scientist,General Reinsurance AG,"Mumbai, Maharashtra",PostedToday
Data Scientist,Indium Software,Remote,Posted30+ days ago
Senior Data Scientist,Job Booster Social India,"Bengaluru, Karnataka",EmployerActive 5 days ago
Data Scientist,Dell Technologies,"Bengaluru, Karnataka",Posted6 days ago
Machine Learning Engineer,Ariana Solutions,"Bengaluru, Karnataka",EmployerActive 1 day ago
"Senior Scientist - Data Science, MI",Pfizer,"Sholinganallur, Chennai, Tamil Nadu",Posted13 days ago
Data Science Intern,Oracuz Infotech Pvt. Ltd,"Thiruvananthapuram, Kerala",EmployerActive 11 days ago
Data Scientist Associate (Merchant Services),"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Posted8 days ago
DATA SCIENTIST,impress.ai,India,Posted22 days ago
Data Scientist- Material Cost Analytics,Ford Global Business Services,"Chennai, Tamil Nadu",Posted3 days ago
Clinical Data Scientist,AstraZeneca,"Bengaluru, Karnataka",Posted10 days ago
Data Science/Analyst intern (DPE-DES-Enterprise Engagement P...,Autodesk,"Remote in Bengaluru, Karnataka",Posted14 days ago
IN4 | Senior Data Scientist | FY23 | SPOT - 1,Walmart Global Tech India,"Bengaluru, Karnataka",Posted9 days ago
Data Scientist - Consumer Analytics,Eli Lilly,"Bengaluru, Karnataka",Posted3 days ago
Analyst - Data Scientist,United Airlines Inc.,"Gurgaon, Haryana",Posted1 day ago
Data Engineer (Analytics exp),Influencer labs,"Bengaluru, Karnataka",PostedToday
Data Scientist - G&M (India),Confluent,Temporarily Remote,Posted30+ days ago
Data Analyst/Data Scientist with Data Bricks/Informatica exp...,DevCool Inc.,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Bosch Group,"Bengaluru, Karnataka",Posted22 days ago
Senio Executive - Data Scientist,NielsenIQ,"Bengaluru, Karnataka+1 location",Posted30+ days ago
Data Modeling Analyst,Isha Foundation,"Coimbatore, Tamil Nadu",PostedToday
Data Science Consultant,Saras Analytics,"Remote in Hyderabad, Telangana",Posted9 days ago
Data Scientist,PhonePe,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist - GoFood,GO-JEK,"Remote in Bengaluru, Karnataka",Posted3 days ago
Data Scientist II - Uber for Business,Uber,"Bengaluru, Karnataka",Posted2 days ago
Junior Data Scientist,Diabsolut Inc.,"Bengaluru, Karnataka",Posted30 days ago
"Senior Analyst, Data Science",Dell Technologies,+1 locationRemote,Posted9 days ago
Senior Data & Applied Scientist,Microsoft,"Hyderabad, Telangana+1 location",Posted2 days ago
Data Science (R&D),Bosch Group,"Remote in Bengaluru, Karnataka",Posted15 days ago
Data Scientist,UBS,"Hyderabad, Telangana+1 location",Posted30+ days ago
Data Scientist,Whatfix,"Bengaluru, Karnataka",EmployerActive 7 days ago
Deep Learning Specialist(Data Scientist),Standard Chartered,"Bengaluru, Karnataka+1 location",Posted30+ days ago
"Data Scientist - Machine Learning, Deep Learning, NLP",Enterprise Bot,"Bengaluru, Karnataka",Posted2 days ago
Remote Data Scientist,MonetizeMore,Remote,Posted30+ days ago
Data Scientist,Global Industrial,"Mumbai, Maharashtra",Posted6 days ago
Data & Applied Scientist Manager,Microsoft,"Hyderabad, Telangana+1 location",PostedToday
Lead Data Scientist,Freshworks,"Bengaluru, Karnataka",PostedJust posted
Machine Learning Engineer,Edhub,"Bengaluru, Karnataka+3 locations",Posted11 days ago
Natural Language Processing Machine Learning Expert,Rewbix,Remote,EmployerActive 5 days ago
"Data Scientist - Tableau, ENO",Credit Suisse,"Pune, Maharashtra",Posted12 days ago
Data Scientist and Engineering,HP,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Airtel India,"Bellandur, Bengaluru, Karnataka+1 location",Posted30+ days ago
Data Scientist,Walmart Global Tech India,"Bengaluru, Karnataka",Posted30+ days ago
Machine Learning Engineer,Pfizer,Remote,Posted1 day ago
Staff Data Scientist,GE Aviation,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Fractal.ai,"Pune, Maharashtra",Posted30+ days ago
Data Scientist - Associate,DBS Bank,India,Posted22 days ago
USI-EH22-EA-CMG-Tech CoE- Data Scientist-A,Deloitte,"Gurgaon, Haryana",Posted30+ days ago
AI/ML - Data Curation Engineer,Apple,"Hyderabad, Telangana",Posted30+ days ago
Data Scientist,Nextnav,"Bengaluru, Karnataka",Posted30+ days ago
V123: Data Scientist,QSSOT Technology,"Coimbatore, Tamil Nadu",Posted30+ days ago
Data Scientist-GTS Analytics,Kyndryl,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Nao,"Remote in Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Abbvie,"Bengaluru, Karnataka",Posted10 days ago
Data Scientist,Hitachi Vantara Corporation,"Bengaluru, Karnataka",Posted30+ days ago
Senior Data Scientist - Geospatial Analytics,NielsenIQ,"Pune, Maharashtra",Posted9 days ago
Machine Learning Engineer,Dell Technologies,"Bengaluru, Karnataka+1 location",PostedToday
Artificial Intelligence / Machine Learning Specialist,Digital Horizons Technology & Media Services...,"Remote in Bengaluru, Karnataka",EmployerActive 4 days ago
Data Science Professional_Eco,IBM,"Ahmedabad, Gujarat",Posted2 days ago
Data Scientist,Paktolus,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Open Insights,"Pune, Maharashtra",Posted30+ days ago
Data Scientist,Uber,"Bengaluru, Karnataka",Posted30+ days ago
Product Manager,Emplay Inc,"Remote in Bengaluru, Karnataka",EmployerActive 4 days ago
Data Scientist,Lenovo,"Bengaluru, Karnataka",Posted30+ days ago
Associate Data Scientist,Airtel India,"Bellandur, Bengaluru, Karnataka",Posted30+ days ago
Associate Data Scientist,Microland,"Bengaluru, Karnataka",Posted30+ days ago
AI/ML Data Scientist,NeST Digital,"Kochi, Kerala",Posted15 days ago
AI Scientist - SAP Procurement Data Science Team,SAP,"Bengaluru, Karnataka",Posted2 days ago
Women Returnee | Data Scientist,PayU,"Bengaluru, Karnataka",Posted30+ days ago
Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",PostedJust posted
Data Scientist-CAI,HDFC Bank,"Bengaluru, Karnataka+1 location",Posted30+ days ago
"Advisor, Data Science",Dell Technologies,"Bengaluru, Karnataka+1 location",Posted1 day ago
Data Scientist,Kovai.co,"Coimbatore, Tamil Nadu",Posted30+ days ago
Data Analytics - Graduate Engineer Trainee,RBHU ETG Private Limited,"Kharghar, Navi Mumbai, Maharashtra",EmployerActive 3 days ago
Data Scientist/Sr. Data Scientist,Inlustris,Remote,Posted7 days ago
Advanced Data Scientist,Honeywell,"Bengaluru, Karnataka",Posted15 days ago
Data Scientist / Sr. Data Scientist,Bosch Group,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist – AIML,Standard Chartered,"Chennai, Tamil Nadu",Posted30 days ago
"Intern, Data Science (Autodesk Construction Cloud)",Autodesk,"Remote in Bengaluru, Karnataka",Posted11 days ago
Data Scientist,Comviva,"Bengaluru, Karnataka+1 location",Posted10 days ago
Deep Learning Deployment Engineer (Edge AI),Conxai Technologies GmbH,"Bengaluru, Karnataka",Posted1 day ago
Data Scientist (Remote),Priority Vendor,"Remote in Noida, Uttar Pradesh",Posted9 days ago
"Data Scientist, Customer Obsession",Uber,"Bengaluru, Karnataka",Posted30+ days ago
Senior Data Scientist,Applied Data Finance,"Chennai, Tamil Nadu",Posted2 days ago
Data Scientist,BAUER Corporate Services Private Limited,"Mumbai, Maharashtra",Posted8 days ago
Data Scientist,"Hitachi India Pvt, Ltd.","Bengaluru, Karnataka",Posted30+ days ago
Senior Analyst - Core RS Data Scientist - Hyd/Blr/Mum/Ggm,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Purplegrids,"Bengaluru, Karnataka",Posted30+ days ago
Data Science and Machine Learning Intern,Leven ai Lab,"Surat, Gujarat",EmployerActive 8 days ago
Scientist I - AI/ ML,Philips,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Bharat Light & Power,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Datastunt,"Noida, Uttar Pradesh",EmployerActive 8 days ago
Associate Data Scientist,Corteva Agriscience,"Hyderabad, Telangana",Posted20 days ago
Data Scientist II,General Mills,"Remote in Mumbai, Maharashtra",Posted30+ days ago
Data Scientist,Smiths Group,"Bengaluru, Karnataka",Posted30+ days ago
GSC Operational Analytics Data Scientist,Intel,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Siemens Technology and Services Private Limited,"Gurgaon, Haryana+1 location",Posted30+ days ago
Data Science Intern,Spinnaker Corporate Advisors,"Mumbai, Maharashtra",Posted19 days ago
Data Scientist,ALTIMETRIK Inc,"Chennai, Tamil Nadu",Posted30+ days ago
Data Science (1-3yrs),PhonePe,"Bengaluru, Karnataka",Posted30+ days ago
CX Data Scientist,Honeywell,"Bengaluru, Karnataka",Posted29 days ago
Data Analyst - Data Science - NX,Siemens Industry Software (India) Private Limited,"Pune, Maharashtra",PostedToday
Senior Data Scientist,Ecolab,"Bengaluru, Karnataka+1 location",Posted30+ days ago
Senior Analyst-Data Science,Amex,"Gurgaon, Haryana",Posted2 days ago
Data Scientist,Qualys,"Remote in Pune, Maharashtra",Posted30+ days ago
ASSOCIATE DATA SCIENTIST,HGS,"Bengaluru, Karnataka",Posted30+ days ago
Customer Data Scientist,h2o.ai,"Remote in Chennai, Tamil Nadu",Posted30+ days ago
Internship for Mtech ( Data Science/ Artificial Intelligence...,Blue Ripples Technologies,"Thiruvananthapuram, Kerala",Posted24 days ago
Data Scientist,BD,"Bengaluru, Karnataka",Posted30+ days ago
Machine Learning Intern,Buymyev,"Bengaluru, Karnataka",EmployerActive 4 days ago
Data Scientist,Cervello Inc,"Bengaluru, Karnataka",Posted30+ days ago
Senior Analyst / Analyst - Data Scientist - Bengaluru,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Flex,"Chennai, Tamil Nadu",Posted7 days ago
Data Scientist,"Retail Solutions, Inc.","Temporarily Remote in Pune, Maharashtra",Posted30+ days ago
Data Scientist - AVP,Citi,"Chennai, Tamil Nadu",Posted22 days ago
Data Science COE-(H/F),Société Générale,"Bengaluru, Karnataka",Posted6 days ago
Senior Data Scientist,Ericsson,"Bengaluru, Karnataka",Posted7 days ago
Data Scientist,Schlumberger,"Pune, Maharashtra+1 location",Posted13 days ago
Data Scientist - Computer Vision Analytics,Western Digital,"Bengaluru, Karnataka",Posted22 days ago
Consultant Data Science (I9),Dell Technologies,Remote,Posted1 day ago
Sr Analytics Engineer,GE Digital,"Bengaluru, Karnataka",PostedToday
Geospatial Data Scientist,BuroHappold Engineering,"Mumbai, Maharashtra",Posted10 days ago
Lead Data Scientist,Oracle,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist 1,PayPal,"Hyderabad, Telangana+2 locations",PostedToday
Data Science Researcher,Shell,"Bengaluru, Karnataka",Posted8 days ago
Data Scientist,Great Learning,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,CGI Inc,"Bengaluru, Karnataka",Posted30 days ago
AI Applications Support Engineer,IBM,"Bengaluru, Karnataka+1 location",Posted17 days ago
Data Engineer: Machine Learning,IBM,"Bengaluru, Karnataka",Posted24 days ago
"Sr. Data Scientist, Data Science",Cardinal Health,"Bengaluru, Karnataka",Posted8 days ago
Robotics Machine Learning Engineer,Thor Systems,Remote,EmployerActive 11 days ago
Data Scientist,Citi,"Pune, Maharashtra",Posted30+ days ago
Deep Learning Engineer (On-site) (Optimization),Flux Auto,"Temporarily Remote in Bengaluru, Karnataka",Posted1 day ago
Advisor Digital Analytics and Data Science,Dell Technologies,Remote,Posted13 days ago
SR Data Scientist,Surya Systems,"Temporarily Remote in Bengaluru, Karnataka",Posted30+ days ago
Junior Data Scientist,NextGrowth Labs,"Bengaluru, Karnataka",Posted30+ days ago
Senior Data Scientist - Operations Research,Cargill,"Bengaluru, Karnataka",Posted30+ days ago
MACHINE LEARNING - DATA SCIENTIST,Hella,"Pune, Maharashtra",Posted30+ days ago
Software Engineer - II Data Science,Philips,"Bengaluru, Karnataka",Posted30+ days ago
Cognitive/AI Senior Data Scientist,IBM,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,MediBuddy,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Golechha Capital,"Remote in Secunderabad, Telangana",Posted30 days ago
Senior Manager - Forecasting data scientist,Genpact,"Gurgaon, Haryana",Posted30+ days ago
Data Scientist - I/II,sharechat,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Odessa,"Temporarily Remote in Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Canum Infotech,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,CityLink Technology Solutions,"Pune, Maharashtra",Posted30+ days ago
Data Scientist,Wise Monk,Remote,Posted30+ days ago
Data scientist,Money View,"Bengaluru, Karnataka",Posted30+ days ago
SME - Curriculum Designer in Data Science (Remote),eduCLaaS,"Remote in Chennai, Tamil Nadu",Posted1 day ago
Data Scientist II View Jobs,Swiggy,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist,Sandvine,"Remote in Bengaluru, Karnataka",Posted30 days ago
Data Scientist,Talent Corner HR Services Pvt. Ltd.,"Bengaluru, Karnataka+1 location",Posted7 days ago
Data Scientist - Supply Chain Analytics (NEW),Chainalytics,"Bengaluru, Karnataka",EmployerActive 2 days ago
Data Scientist,Infognana IG Solution,India,Posted30+ days ago
Data Scientist – Data Products,Netradyne,"Bengaluru, Karnataka",Posted30+ days ago
Data Scientist - Operations Research,Ford India Pvt Ltd,"Chennai, Tamil Nadu",Posted30 days ago
Data Scientist (Python),iCliniq,"Coimbatore, Tamil Nadu",Posted30+ days ago
Data Scientist - NLP,Neuron7.ai,India,3 hours ago
Data Scientist,SemiCab - Collaborative Transportation Platform,"Bangalore Urban, Karnataka, India",3 hours ago
Applied Data Scientist,Tesco,"Bengaluru, Karnataka, India",1 day ago
Analyst - Data Scientist,United Airlines,"Gurgaon, Haryana, India",1 day ago
Data Scientist,HR KN Official,India,7 hours ago
Data Scientist,HP,"Bengaluru, Karnataka, India",1 day ago
Data Scientist,Microsoft,"Hyderabad, Telangana, India",1 month ago
Data Scientist,Vsam Networks,"Noida, Uttar Pradesh, India",1 day ago
Data Science,LTI - Larsen & Toubro Infotech,"Pune, Maharashtra, India",3 days ago
Data Scientist,Skill Bud Innovation Studio,India,19 hours ago
Principal Data Scientist,Walmart Global Tech India,"Bengaluru, Karnataka, India",4 weeks ago
Data science & Machine learning,Tata Consultancy Services,"Mumbai, Maharashtra, India",4 days ago
Data Scientist – AI / Deep Learning for Automated Driving,Bosch Global Software Technologies,"Bengaluru, Karnataka, India",17 hours ago
Data Scientist,IBM,"Bengaluru, Karnataka, India",1 day ago
Data Scientist,Larsen & Toubro,"Chennai, Tamil Nadu, India",3 days ago
Data Scientist,Walmart Global Tech India,"Bengaluru, Karnataka, India",4 weeks ago
Data Scientist / Machine Learning Engineer,PubMatic,"Delhi, Delhi, India",1 week ago
Data Scientist,Cimpress India,"Bengaluru, Karnataka, India",4 hours ago
Data Scientist- Material Cost Analytics,Ford Motor Company,"Chennai, Tamil Nadu, India",4 days ago
"Data Scientist - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",30 minutes ago
Machine learning engineer,OptimHire,"Bengaluru, Karnataka, India",4 hours ago
Data Scientist S&C,Accenture,"Bangalore Urban, Karnataka, India",2 days ago
Hiring for Senior Data Scientist,Tata Consultancy Services,India,3 days ago
Data Scientist,Lightbulb.Ai,"Delhi, India",2 days ago
Data Scientist,Rollick,"Hyderabad, Telangana, India",3 days ago
Senior Data Scientist,Infrrd,India,6 hours ago
Data Scientist,LinkedIn,"Bengaluru, Karnataka, India",3 weeks ago
Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",3 days ago
Data Scientist,Jio,"Bengaluru, Karnataka, India",3 weeks ago
Data Scientist S&C,Accenture,"Mumbai, Maharashtra, India",2 days ago
Data Scientist,Swift,"Bengaluru, Karnataka, India",2 days ago
Data Scientist,Microsoft,"Bihar, India",3 weeks ago
Data Scientist,Nabler,"Bengaluru, Karnataka, India",2 days ago
"Data Scientist - Bangalore, KA",Optum,"Bengaluru, Karnataka, India",31 minutes ago
Data Science (R&D),Bosch,"Bengaluru, Karnataka, India",2 weeks ago
"Data scientist- Python Gurgaon, Now WFH",TeamPlus Staffing Solution Pvt.ltd.,Gurugram,1 day ago
Data Scientist,Buzzworks,Bangalore,1 day ago
Managger - Data Scientist,Genpact India Pvt. Ltd.,Bangalore,3 days ago
